Slice,Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
mMTC,2,4,39,281.1151434,8.9,11,20
mMTC,2,5,39,255.2928729,9.3,10,20
mMTC,2,6,39,170.5938498,12.5,9,20
mMTC,2,7,39,132.5762371,15.8,8,20
mMTC,2,8,39,100.6714501,19.2,7,20
mMTC,2,9,39,156.8334225,22.3,6,20
mMTC,2,10,39,286.8696091,25.4,5,20
mMTC,2,11,39,139.54393,28.5,5,20
mMTC,2,12,39,294.7756035,31.6,5,20
mMTC,2,13,39,297.0571535,34.7,5,20
mMTC,2,14,39,275.9398036,35,5,20
mMTC,2,15,39,105.0253967,37.7,5,20
mMTC,2,16,39,102.9954493,40.9,5,20
mMTC,2,17,39,255.9057103,44.1,5,20
mMTC,2,18,39,129.0046646,47.4,5,20
mMTC,2,19,39,133.0439923,50.8,5,20
mMTC,2,20,39,102.7082313,50.8,5,20
mMTC,3,1,36.6,151.2611854,0,14,20
mMTC,3,2,36.6,285.5310814,2.5,13,20
mMTC,3,3,36.6,278.8021444,5.7,12,20
mMTC,3,4,36.6,282.2632358,8.8,11,20
mMTC,3,5,36.6,152.3518801,11.9,10,20
mMTC,3,6,36.6,296.078404,15.1,9,20
mMTC,3,7,36.6,254.0284125,18,8,20
mMTC,3,8,36.6,174.5862901,21.3,7,20
mMTC,3,9,36.6,281.3569504,22.5,6,20
mMTC,3,10,36.6,286.4751586,23.6,5,20
mMTC,3,11,36.6,295.2477513,26.7,5,20
mMTC,3,12,36.6,143.5890296,29.6,5,20
mMTC,3,13,36.6,170.3830446,32.7,5,20
mMTC,3,14,36.6,137.9100174,36,5,20
mMTC,3,15,36.6,271.030416,39.1,5,20
mMTC,3,16,36.6,152.2091728,39.4,5,20
mMTC,3,17,36.6,164.6786763,42.2,5,20
mMTC,3,18,36.6,224.6458255,45,5,20
mMTC,3,19,36.6,131.4114202,47.7,5,20
mMTC,3,20,36.6,162.478788,47.7,5,20
mMTC,4,1,40.5,132.0394707,0,14,20
mMTC,4,2,40.5,181.8441149,2.9,13,20
mMTC,4,3,40.5,130.8324878,6.3,12,20
mMTC,4,4,40.5,160.8365974,6.3,11,20
mMTC,4,5,40.5,136.0477788,9.8,10,20
mMTC,4,6,40.5,298.8035892,12.9,9,20
mMTC,4,7,40.5,248.5684103,14,8,20
mMTC,4,8,40.5,290.1306254,17.1,7,20
mMTC,4,9,40.5,229.1381285,20.6,6,20
mMTC,4,10,40.5,142.6130534,23.9,5,20
mMTC,4,11,40.5,105.6192417,27.5,5,20
mMTC,4,12,40.5,104.4997081,30.9,5,20
mMTC,4,13,40.5,279.7022149,34.1,5,20
mMTC,4,14,40.5,156.2063919,37.9,5,20
mMTC,4,15,40.5,207.5012236,37.9,5,20
mMTC,4,16,40.5,153.395223,38.2,5,20
mMTC,4,17,40.5,281.5413215,38.9,5,20
mMTC,4,18,40.5,215.0001515,41.5,5,20
mMTC,4,19,40.5,227.3163348,41.5,5,20
mMTC,4,20,40.5,255.4408715,41.5,5,20
mMTC,5,1,39.2,245.2789836,0,14,20
mMTC,5,2,39.2,117.7472906,2.8,13,20
mMTC,5,3,39.2,281.5068376,5.9,12,20
mMTC,5,4,39.2,260.0930474,7.4,11,20
mMTC,5,5,39.2,107.390485,10.2,10,20
mMTC,5,6,39.2,217.9649054,12.9,9,20
mMTC,5,7,39.2,137.3078458,14.9,8,20
mMTC,5,8,39.2,124.7328843,17.7,7,20
mMTC,5,9,39.2,142.8213247,20.3,6,20
mMTC,5,10,39.2,291.1572092,23.1,5,20
mMTC,5,11,39.2,177.9804752,25.8,5,20
mMTC,5,12,39.2,227.8058136,28.7,5,20
mMTC,5,13,39.2,137.9061307,30.5,5,20
mMTC,5,14,39.2,181.9185191,33.6,5,20
mMTC,5,15,39.2,110.8863187,35.8,5,20
mMTC,5,16,39.2,267.744026,37.4,5,20
mMTC,5,17,39.2,172.2942654,39.7,5,20
mMTC,5,18,39.2,157.5630412,40.7,5,20
mMTC,5,19,39.2,288.4150881,43.3,5,20
mMTC,5,20,39.2,103.3288046,43.3,5,20
mMTC,6,1,38.9,112.623547,0,14,20
mMTC,6,2,38.9,105.2429115,2.6,13,20
mMTC,6,3,38.9,124.5764632,5.9,12,20
mMTC,6,4,38.9,187.541418,9,11,20
mMTC,6,5,38.9,267.2421188,12.3,10,20
mMTC,6,6,38.9,133.0224599,15.6,9,20
mMTC,6,7,38.9,118.2902607,16.9,8,20
mMTC,6,8,38.9,244.4533524,19.9,7,20
mMTC,6,9,38.9,150.0498682,23,6,20
mMTC,6,10,38.9,241.7802242,25.9,5,20
mMTC,6,11,38.9,190.0135227,29,5,20
mMTC,6,12,38.9,178.514426,32,5,20
mMTC,6,13,38.9,133.6786228,34.8,5,20
mMTC,6,14,38.9,116.3389769,38,5,20
mMTC,6,15,38.9,143.3147322,38.9,5,20
mMTC,6,16,38.9,157.2057885,41.9,5,20
mMTC,6,17,38.9,292.9041683,44.9,5,20
mMTC,6,18,38.9,222.980128,48.3,5,20
mMTC,6,19,38.9,112.0560622,51.3,5,20
mMTC,6,20,38.9,213.559461,51.3,5,20
mMTC,7,1,40.8,239.4568604,0,14,20
mMTC,7,2,40.8,262.9884775,3,13,20
mMTC,7,3,40.8,292.0706746,6.4,12,20
mMTC,7,4,40.8,291.0224907,9.8,11,20
mMTC,7,5,40.8,250.4060231,12.3,10,20
mMTC,7,6,40.8,204.6401603,14.7,9,20
mMTC,7,7,40.8,104.7618043,17.3,8,20
mMTC,7,8,40.8,126.2286891,21.1,7,20
mMTC,7,9,40.8,155.024245,24.6,6,20
mMTC,7,10,40.8,172.7928356,28.1,5,20
mMTC,7,11,40.8,216.7025879,30.6,5,20
mMTC,7,12,40.8,293.4196444,31,5,20
mMTC,7,13,40.8,289.7117344,32.9,5,20
mMTC,7,14,40.8,223.3425675,34.6,5,20
mMTC,7,15,40.8,283.8604966,37.8,5,20
mMTC,7,16,40.8,200.2999969,41.3,5,20
mMTC,7,17,40.8,245.4363203,41.5,5,20
mMTC,7,18,40.8,146.1663197,44.5,5,20
mMTC,7,19,40.8,276.3721396,45.3,5,20
mMTC,7,20,40.8,181.5283664,45.3,5,20
mMTC,8,1,38.7,167.4700352,0,14,20
mMTC,8,2,38.7,212.3382242,2.8,13,20
mMTC,8,3,38.7,264.7583391,2.8,12,20
mMTC,8,4,38.7,180.0903577,5.6,11,20
mMTC,8,5,38.7,189.2138373,6.2,10,20
mMTC,8,6,38.7,253.7011912,6.2,9,20
mMTC,8,7,38.7,114.5614088,8.9,8,20
mMTC,8,8,38.7,280.0735027,9.3,7,20
mMTC,8,9,38.7,260.7013819,12.6,6,20
mMTC,8,10,38.7,167.0035845,13,5,20
mMTC,8,11,38.7,148.7503726,15.9,5,20
mMTC,8,12,38.7,290.7734871,18.9,5,20
mMTC,8,13,38.7,257.6759313,22.1,5,20
mMTC,8,14,38.7,289.1353696,25.5,5,20
mMTC,8,15,38.7,216.5924831,25.9,5,20
mMTC,8,16,38.7,245.1355461,25.9,5,20
mMTC,8,17,38.7,254.1483379,28.4,5,20
mMTC,8,18,38.7,275.6447885,31.7,5,20
mMTC,8,19,38.7,192.9123838,32.5,5,20
mMTC,8,20,38.7,116.1312967,32.5,5,20
mMTC,9,1,40.3,262.7063142,0,14,20
mMTC,9,2,40.3,278.1745007,2.8,13,20
mMTC,9,3,40.3,183.7082233,6.3,12,20
mMTC,9,4,40.3,169.1739866,9.7,11,20
mMTC,9,5,40.3,250.5773044,10.3,10,20
mMTC,9,6,40.3,114.2252421,10.4,9,20
mMTC,9,7,40.3,284.0240776,11.3,8,20
mMTC,9,8,40.3,198.5087214,14.6,7,20
mMTC,9,9,40.3,136.9426918,16.9,6,20
mMTC,9,10,40.3,175.8596604,16.9,5,20
mMTC,9,11,40.3,113.8965777,19.6,5,20
mMTC,9,12,40.3,184.8896629,23,5,20
mMTC,9,13,40.3,172.0674003,25.7,5,20
mMTC,9,14,40.3,277.2117728,29.1,5,20
mMTC,9,15,40.3,204.8153032,29.1,5,20
mMTC,9,16,40.3,127.4190233,32.4,5,20
mMTC,9,17,40.3,221.3349989,35.4,5,20
mMTC,9,18,40.3,276.8900974,35.4,5,20
mMTC,9,19,40.3,229.0233809,38.2,5,20
mMTC,9,20,40.3,257.847223,38.2,5,20
mMTC,10,1,40.1,181.2898388,0,14,20
mMTC,10,2,40.1,202.782705,2.9,13,20
mMTC,10,3,40.1,212.5427015,5.1,12,20
mMTC,10,4,40.1,101.4987129,8,11,20
mMTC,10,5,40.1,141.6957365,10.9,10,20
mMTC,10,6,40.1,264.4588024,14.1,9,20
mMTC,10,7,40.1,212.422985,16.9,8,20
mMTC,10,8,40.1,288.1593669,19.7,7,20
mMTC,10,9,40.1,157.7631619,22.6,6,20
mMTC,10,10,40.1,272.5450055,24.3,5,20
mMTC,10,11,40.1,132.9338473,24.3,5,20
